trials_5.thisTrialN,trials_5.stepSize,trials_5.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,correctAns,tilt,key_resp.corr,trials_5.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
27,0.5,2.5,31.724694100004854,32.224516100017354,32.224516100017354,32.224516100017354,,right,2.5,1,1,0.20363699999870732,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
28,0.5,2.0,32.45774040001561,32.95775820000563,32.95775820000563,32.95775820000563,33.25836040001013,right,2.0,1,1,0.31910220001009293,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
29,0.5,2.0,33.307248700002674,33.80771660001483,33.80771660001483,33.80771660001483,34.10779390000971,right,2.0,1,1,0.38937660001101904,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
30,0.5,2.0,34.22398520002025,34.72480700002052,34.72480700002052,34.72480700002052,35.024702499998966,left,-2.0,1,1,0.38401920002070256,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
31,0.5,1.5,35.141277400020044,35.64131920001819,35.64131920001819,35.64131920001819,,right,1.5,1,1,0.19204899997566827,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
32,0.5,1.5,35.85734760001651,36.3577947000158,36.3577947000158,36.3577947000158,36.65821850000066,right,1.5,0,0,0.34649870000430383,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
33,0.5,2.0,36.72434020001674,37.224350900010904,37.224350900010904,37.224350900010904,,right,2.0,1,1,0.22874360001878813,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
34,0.5,2.0,37.47442030001548,37.974597000022186,37.974597000022186,37.974597000022186,38.274316900002304,left,-2.0,1,1,0.5020565000013448,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
35,0.5,2.0,38.506959699996514,38.99080880000838,38.99080880000838,39.00769690002198,39.29032990001724,left,-2.0,0,0,0.28754200000548735,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
36,0.5,2.5,39.30678220000118,39.80761600000551,39.80761600000551,39.80761600000551,40.107738699996844,right,2.5,1,1,0.41561510000610724,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
37,0.5,2.5,40.23958789999597,40.741172200010624,40.741172200010624,40.741172200010624,41.04215100000147,right,2.5,1,1,0.2961500999808777,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
38,0.5,2.5,41.05743580000126,41.55760910001118,41.55760910001118,41.55760910001118,,left,-2.5,0,0,0.12213079998036847,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
39,0.5,3.0,41.70646840002155,42.207729600020684,42.207729600020684,42.207729600020684,,right,3.0,0,0,0.13906290000886656,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
40,0.5,3.5,42.37367280002218,42.85716500002309,42.85716500002309,42.874249400018016,,left,-3.5,0,0,0.13597370000206865,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
41,0.5,4.0,43.023710600013146,43.523197700007586,43.523197700007586,43.523197700007586,,right,4.0,1,1,0.17815100000007078,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
42,0.5,4.0,43.72327670000959,44.2240275000222,44.2240275000222,44.2240275000222,,right,4.0,0,0,0.0714581000211183,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
43,0.5,4.5,44.32379250001395,44.80684090001159,44.80684090001159,44.82399659999646,45.10712160001276,left,-4.5,1,1,0.4047073000110686,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
44,0.5,4.5,45.24079340000753,45.72348570000031,45.72348570000031,45.74113480001688,46.023802500014426,right,4.5,0,0,0.31741459999466315,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
45,0.5,5.0,46.057111000001896,46.55706439999631,46.55706439999631,46.55706439999631,,right,5.0,0,0,0.23153869999805465,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
46,0.5,5.5,46.807133800000884,47.307216800021706,47.307216800021706,47.307216800021706,47.60718150000321,left,-5.5,1,1,0.44793390002450906,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
47,0.5,5.5,47.773690600006375,48.273354700009804,48.273354700009804,48.273354700009804,48.57372590000159,right,5.5,1,1,0.3166637000103947,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
48,0.5,5.5,48.606156299996655,49.107204400002956,49.107204400002956,49.107204400002956,49.406700999999885,right,5.5,1,1,0.41853230001288466,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
49,0.5,5.0,49.55659490000107,50.05686880002031,50.05686880002031,50.05686880002031,50.35635040001944,right,5.0,1,1,0.38585279998369515,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
50,0.5,5.0,50.47360560001107,50.95691780000925,50.95691780000925,50.97390290000476,51.257056800008286,right,5.0,1,1,0.32646970002679154,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
51,0.5,5.0,51.30594819999533,51.78994950000197,51.78994950000197,51.806764700013446,52.08945440000389,right,5.0,1,1,0.3417840000183787,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
52,0.5,4.5,52.15660360001493,52.65636120000272,52.65636120000272,52.65636120000272,52.95695910000359,left,-4.5,0,0,0.3171353999932762,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
53,0.5,5.0,52.98968620001688,53.48955009999918,53.48955009999918,53.48955009999918,53.79016820000834,left,-5.0,1,1,0.47742129999096505,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
54,0.5,5.0,53.99027350000688,54.48898610001197,54.48898610001197,54.48898610001197,54.78929790001712,right,5.0,1,1,0.48390560000552796,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
55,0.5,5.0,54.98939679999603,55.49050090002129,55.49050090002129,55.49050090002129,55.789972700004,left,-5.0,1,1,0.3903205999813508,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
56,0.5,4.5,55.90687010000693,56.406545300007565,56.406545300007565,56.406545300007565,56.722823300020536,left,-4.5,1,1,0.49802440000348724,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
57,0.5,4.5,56.92359520000173,57.42322910000803,57.42322910000803,57.42322910000803,57.72312999999849,left,-4.5,1,1,0.4462436999892816,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
58,0.5,4.5,57.889675700018415,58.372708400012925,58.372708400012925,58.39000750001287,,left,-4.5,1,1,0.14752640001825057,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
59,0.5,4.0,58.539723000023514,59.03976360001252,59.03976360001252,59.03976360001252,59.339218500012066,right,4.0,0,0,0.3398747000028379,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
60,0.5,4.5,59.40566260000924,59.90602920000674,59.90602920000674,59.90602920000674,60.20657500001835,right,4.5,0,0,0.32371969998348504,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
61,0.5,5.0,60.25649749999866,60.756571900012204,60.756571900012204,60.756571900012204,61.05633510000189,right,5.0,1,1,0.8634284000145271,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
62,0.5,5.0,61.63931270001922,62.13987539999653,62.13987539999653,62.13987539999653,62.45600269999704,right,5.0,1,1,0.37877680000383407,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
63,0.5,5.0,62.53969110001344,63.039440000022296,63.039440000022296,63.039440000022296,63.33923790001427,left,-5.0,1,1,0.3645165000052657,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
64,0.5,4.5,63.42278819999774,63.92297710001003,63.92297710001003,63.92297710001003,64.22279610001715,left,-4.5,1,1,0.4302642999973614,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
65,0.5,4.5,64.37221380000119,64.85596720001195,64.85596720001195,64.87154510000255,65.15621660000761,right,4.5,1,1,0.4049661999742966,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
66,0.5,4.5,65.28946490000817,65.77252020000014,65.77252020000014,65.78897990001133,,left,-4.5,0,0,0.11492469999939203,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
67,0.5,5.0,65.90531100000953,66.38952220001374,66.38952220001374,66.40562649999629,,left,-5.0,1,1,0.250366699998267,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
68,0.5,5.0,66.67212220001966,67.17179770002258,67.17179770002258,67.17179770002258,67.47147320001386,right,5.0,1,1,0.3783852999913506,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
